year,state,crop,mean_yield_per_acre
2021,MISSISSIPPI,Corn,156.33333333333334
2021,MISSOURI,Corn,139.66666666666666
2021,MONTANA,Corn,59.0
2021,NEBRASKA,Corn,161.41666666666666
2021,NEVADA,Corn,26.0
2021,NEW HAMPSHIRE,Corn,21.0
2021,NEW JERSEY,Corn,91.5
2021,NEW MEXICO,Corn,105.0
2021,NEW YORK,Corn,142.66666666666666
2021,NORTH CAROLINA,Corn,123.66666666666667
2021,NORTH DAKOTA,Corn,90.25
2021,OHIO,Corn,162.0
2021,OKLAHOMA,Corn,127.83333333333333
2021,OREGON,Corn,131.5
2021,OTHER STATES,Corn,107.14999999999999
2021,PENNSYLVANIA,Corn,143.16666666666666
2021,RHODE ISLAND,Corn,21.0
2021,SOUTH CAROLINA,Corn,116.0
2021,SOUTH DAKOTA,Corn,113.66666666666667
2021,TENNESSEE,Corn,145.83333333333334
2021,TEXAS,Corn,119.0
2021,UTAH,Corn,101.5
2021,VERMONT,Corn,19.0
2021,VIRGINIA,Corn,131.0
2021,WASHINGTON,Corn,193.83333333333334
2021,WEST VIRGINIA,Corn,81.0
2021,WISCONSIN,Corn,147.41666666666666
2021,WYOMING,Corn,77.5
2022,ALABAMA,Corn,107.0
2022,ARIZONA,Corn,124.0
2022,ARKANSAS,Corn,149.16666666666666
2022,CALIFORNIA,Corn,170.5
2022,COLORADO,Corn,105.08333333333333
2022,CONNECTICUT,Corn,20.0
2022,DELAWARE,Corn,150.0375
2022,FLORIDA,Corn,90.5
2022,GEORGIA,Corn,145.5
2022,IDAHO,Corn,175.83333333333334
2022,ILLINOIS,Corn,178.16666666666666
2022,INDIANA,Corn,160.83333333333334
2022,IOWA,Corn,171.33333333333334
2022,KANSAS,Corn,100.16666666666667
2022,KENTUCKY,Corn,128.83333333333334
2022,LOUISIANA,Corn,142.5
2022,MAINE,Corn,17.0
2022,MARYLAND,Corn,145.33333333333334
2022,MASSACHUSETTS,Corn,15.0
2022,MICHIGAN,Corn,142.66666666666666
2022,MINNESOTA,Corn,163.41666666666666
2022,MISSISSIPPI,Corn,144.0
2022,MISSOURI,Corn,129.83333333333334
2022,MONTANA,Corn,66.5
2022,NEBRASKA,Corn,145.75
2022,NEVADA,Corn,22.0
2022,NEW HAMPSHIRE,Corn,19.0
2022,NEW JERSEY,Corn,65.0
2022,NEW MEXICO,Corn,86.5
2022,NEW YORK,Corn,128.5
2022,NORTH CAROLINA,Corn,98.33333333333333
2022,NORTH DAKOTA,Corn,119.16666666666667
2022,OHIO,Corn,159.66666666666666
2022,OKLAHOMA,Corn,105.0
2022,OREGON,Corn,132.5
2022,OTHER STATES,Corn,119.32000000000001
2022,PENNSYLVANIA,Corn,126.0
2022,RHODE ISLAND,Corn,16.0
2022,SOUTH CAROLINA,Corn,106.33333333333333
2022,SOUTH DAKOTA,Corn,114.0
2022,TENNESSEE,Corn,109.83333333333333
2022,TEXAS,Corn,88.0
2022,UTAH,Corn,94.5
2022,VERMONT,Corn,19.0
2022,VIRGINIA,Corn,139.33333333333334
2022,WASHINGTON,Corn,202.5
2022,WEST VIRGINIA,Corn,94.5
2022,WISCONSIN,Corn,155.75
2022,WYOMING,Corn,88.5
2023,ALABAMA,Corn,140.0
2023,ARIZONA,Corn,116.5
2023,ARKANSAS,Corn,153.16666666666666
2023,CALIFORNIA,Corn,150.33333333333334
2023,COLORADO,Corn,109.75
2023,CONNECTICUT,Corn,17.0
2023,DELAWARE,Corn,167.7625
2023,FLORIDA,Corn,88.5
2023,GEORGIA,Corn,151.33333333333334
2023,IDAHO,Corn,178.33333333333334
2023,ILLINOIS,Corn,171.33333333333334
2023,INDIANA,Corn,168.5
2023,IOWA,Corn,170.5
2023,KANSAS,Corn,104.66666666666667
2023,KENTUCKY,Corn,157.83333333333334
2023,LOUISIANA,Corn,147.33333333333334
2023,MAINE,Corn,15.0
2023,MARYLAND,Corn,138.16666666666666
2023,MASSACHUSETTS,Corn,16.0
2023,MICHIGAN,Corn,145.33333333333334
2023,MINNESOTA,Corn,154.41666666666666
2023,MISSISSIPPI,Corn,153.5
2023,MISSOURI,Corn,123.83333333333333
2023,MONTANA,Corn,76.0
2023,NEBRASKA,Corn,151.16666666666666
2023,NEVADA,Corn,21.0
2023,NEW HAMPSHIRE,Corn,18.0
2023,NEW JERSEY,Corn,93.0
2023,NEW MEXICO,Corn,88.0
2023,NEW YORK,Corn,139.0
2023,NORTH CAROLINA,Corn,124.83333333333333
2023,NORTH DAKOTA,Corn,117.91666666666667
2023,OHIO,Corn,165.83333333333334
2023,OKLAHOMA,Corn,121.16666666666667
2023,OREGON,Corn,120.0
2023,OTHER STATES,Corn,129.8
2023,PENNSYLVANIA,Corn,132.33333333333334
2023,RHODE ISLAND,Corn,21.0
2023,SOUTH CAROLINA,Corn,124.33333333333333
2023,SOUTH DAKOTA,Corn,126.5
2023,TENNESSEE,Corn,148.0
2023,TEXAS,Corn,110.83333333333333
2023,UTAH,Corn,105.0
2023,VERMONT,Corn,17.0
2023,VIRGINIA,Corn,131.0
2023,WASHINGTON,Corn,193.16666666666666
2023,WEST VIRGINIA,Corn,81.0
2023,WISCONSIN,Corn,144.0
2023,WYOMING,Corn,88.0
2024,ALABAMA,Corn,92.16666666666667
2024,ARIZONA,Corn,126.0
2024,ARKANSAS,Corn,158.5
2024,CALIFORNIA,Corn,104.0
2024,COLORADO,Corn,105.58333333333333
2024,CONNECTICUT,Corn,20.0
2024,DELAWARE,Corn,146.1375
2024,FLORIDA,Corn,78.5
2024,GEORGIA,Corn,128.33333333333334
2024,IDAHO,Corn,182.16666666666666
2024,ILLINOIS,Corn,188.0
2024,INDIANA,Corn,174.83333333333334
2024,IOWA,Corn,180.5
